SYMBOL,ID
RAB10,913
NRBP1,914
ALK,915
GALNT14,916
LCLAT1,917
MEMO1,918
SPAST,919
DPY30,920
BIRC6,921
TTC27,922
FAM98A,923
EIF2AK2,924
STRN,925
ATL2,926
CDC42EP3,927
SOS1,928
DHX57,929
EML4,930
PLEKHH2,931
THADA,932
PREPL,933
PPM1B,934
LRPPRC,935
SRBD1,936
RHOQ,937
EPAS1,938
MSH2,939
FBXO11,940
GTF2A1L,941
SPTBN1,942
EML6,943
CCDC85A,944
EFEMP1,945
VRK2,946
FANCL,947
BCL11A,948
KIAA1841,949
XPO1,950
MDH1,951
EHBP1,952
PELI1,953
SERTAD2,954
UGP2,955
VPS54,956
MEIS1,957
ETAA1,958
ANXA4,959
ANTXR1,960
GFPT1,961
AAK1,962
C2orf42,963
SNRPG,964
TGFA,965
ADD2,966
DYSF,967
PAIP2B,968
SFXN5,969
EXOC6B,970
ALMS1,971
TACR1,972
TTC31,973
SUCLG1,974
USP39,975
TCF7L1,976
ST3GAL5,977
REEP1,978
LOC285074,979
RGPD2,980
THNSL2,981
KRCC1,982
EIF2AK3,983
RPIA,984
FAHD2A,985
ZNF514,986
ITPRIPL1,987
STARD7,988
FAM178B,989
ANKRD36,990
ANKRD36B,991
INPP4A,992
VWA3B,993
EIF5B,994
PDCL3,995
NPAS2,996
MAP4K4,997
CREG2,998
SLC9A2,999
C2orf40,1000
ST6GAL2,1001
CCDC138,1002
10-Sep,1003
BUB1,1004
TMEM87B,1005
MERTK,1006
ANAPC1,1007
PAX8,1008
CKAP2L,1009
CCDC93,1010
C2orf76,1011
TMEM37,1012
TMEM177,1013
EPB41L5,1014
TMEM185B,1015
CLASP1,1016
TFCP2L1,1017
SAP130,1018
ARHGEF4,1019
GPR39,1020
DARS,1021
SPOPL,1022
GTDC1,1023
ACVR2A,1024
KIF5C,1025
EPC2,1026
LYPD6,1027
CACNB4,1028
RIF1,1029
ARL6IP6,1030
FMNL2,1031
KCNJ3,1032
GPD2,1033
ACVR1C,1034
TANC1,1035
PLA2R1,1036
RBMS1,1037
PSMD14,1038
GCA,1039
FIGN,1040
SCN9A,1041
SSB,1042
GAD1,1043
ATF2,1044
CHN1,1045
EVX2,1046
NFE2L2,1047
OSBPL6,1048
PDE11A,1049
SESTD1,1050
UBE2E3,1051
DNAJC10,1052
NCKAP1,1053
GULP1,1054
ANKAR,1055
PMS1,1056
HIBCH,1057
MFSD6,1058
GLS,1059
MYO1B,1060
DNAH7,1061
GTF3C3,1062
CCDC150,1063
PLCL1,1064
CFLAR,1065
CASP8,1066
CLK1,1067
AOX1,1068
NOP58,1069
FZD7,1070
ALS2,1071
ICA1L,1072
ABI2,1073
RAPH1,1074
FAM117B,1075
NBEAL1,1076
KLF7,1077
CREB1,1078
PTH2R,1079
PLEKHM3,1080
PIKFYVE,1081
MAP2,1082
BARD1,1083
FN1,1084
SMARCAL1,1085
DIRC3,1086
SPEG,1087
STK11IP,1088
PAX3,1089
ACSL3,1090
FARSB,1091
AP1S3,1092
WDFY1,1093
RHBDD1,1094
SPHKAP,1095
DNER,1096
CAB39,1097
COPS7B,1098
ARMC9,1099
NMUR1,1100
PSMD1,1101
DIS3L2,1102
HJURP,1103
ARL4C,1104
IQCA1,1105
UBE2F,1106
MLPH,1107
LRRFIP1,1108
RAMP1,1109
ASB1,1110
NDUFA10,1111
ANKMY1,1112
KIF1A,1113
SNED1,1114
FARP2,1115
TMEM18,1116
ADI1,1117
RNASEH1,1118
RPS7,1119
SOX11,1120
ID2,1121
IAH1,1122
ADAM17,1123
YWHAQ,1124
TAF1B,1125
CYS1,1126
KLF11,1127
RRM2,1128
ODC1,1129
PDIA6,1130
KCNF1,1131
NTSR2,1132
TRIB2,1133
FAM84A,1134
MYCN,1135
OSR1,1136
TTC32,1137
LAPTM4A,1138
SDC1,1139
RHOB,1140
GDF7,1141
TP53I3,1142
ADCY3,1143
DNAJC27,1144
POMC,1145
KIF3C,1146
C2orf70,1147
CENPA,1148
MAPRE3,1149
CGREF1,1150
AGBL5,1151
KHK,1152
ABHD1,1153
CAD,1154
SLC30A3,1155
ZNF513,1156
PPM1G,1157
UCN,1158
GTF3C2,1159
FNDC4,1160
KRTCAP3,1161
ZNF512,1162
MRPL33,1163
FOSL2,1164
PPP1CB,1165
SPDYA,1166
TRMT61B,1167
WDR43,1168
YPEL5,1169
LBH,1170
SRD5A2,1171
SLC30A6,1172
QPCT,1173
CYP1B1,1174
LOC375196,1175
COX7A2L,1176
HAAO,1177
ZFP36L2,1178
SIX2,1179
SOCS5,1180
MCFD2,1181
CALM2,1182
KCNK12,1183
MSH6,1184
FOXN2,1185
LHCGR,1186
TSPYL6,1187
C2orf73,1188
RTN4,1189
MTIF2,1190
PNPT1,1191
PAPOLG,1192
FAM161A,1193
CCT4,1194
B3GNT2,1195
OTX1,1196
SLC1A4,1197
CEP68,1198
RAB1A,1199
ACTR2,1200
SPRED2,1201
WDR92,1202
APLF,1203
NFU1,1204
GMCL1,1205
MXD1,1206
TIA1,1207
FAM136A,1208
FIGLA,1209
VAX2,1210
TEX261,1211
ANKRD53,1212
MCEE,1213
CYP26B1,1214
SPR,1215
EMX1,1216
RAB11FIP5,1217
NOTO,1218
SMYD5,1219
TPRKB,1220
DGUOK,1221
STAMBP,1222
BOLA3,1223
MTHFD2,1224
WBP1,1225
RTKN,1226
WDR54,1227
INO80B,1228
C2orf81,1229
MOGS,1230
HTRA2,1231
LOXL3,1232
TLX2,1233
PCGF1,1234
POLE4,1235
TMSB10,1236
KCMF1,1237
RETSAT,1238
TGOLN2,1239
GGCX,1240
VAMP5,1241
RNF181,1242
POLR1A,1243
KDM3A,1244
RNF103,1245
FOXI3,1246
TEKT4,1247
MAL,1248
MRPS5,1249
ZNF2,1250
KCNIP3,1251
DUSP2,1252
ADRA2B,1253
SNRNP200,1254
NCAPH,1255
ARID5A,1256
NEURL3,1257
CNNM4,1258
CNNM3,1259
SEMA4C,1260
FAHD2B,1261
COX5B,1262
ACTR1B,1263
MGAT4A,1264
REV1,1265
CHST10,1266
RPL31,1267
POU3F3,1268
C2orf49,1269
FHL2,1270
UXS1,1271
RGPD3,1272
SLC5A7,1273
GCC2,1274
RANBP2,1275
BCL2L11,1276
FBLN7,1277
ZC3H6,1278
CHCHD5,1279
SLC35F5,1280
DDX18,1281
INSIG2,1282
