,0,0,0
104,0.014328361,0,B3GNT9
105,-0.003056824,4,YBX2
106,-0.030396797,4,CYP1B1
107,0.007055046,0,IGFBP3
108,0.016838072,0,TLR5
109,0.007433899,0,CD2BP2
110,-0.004074299,4,SCIN
111,0.00041753988,4,TMEM51-AS1
112,0.0053250412,1,FAM76A
113,0.012992449,0,COLCA2
114,0.005469866,1,CTNNAL1
115,-0.00043211938,4,MXRA5
116,0.014594466,0,SLC34A2
117,-0.00122274,4,TPP1
118,0.06293387,0,KRT16
119,-0.003639405,4,TNFAIP2
120,0.007603687,0,ALPL
121,0.0063007697,1,PROM1
122,0.009073831,0,MCPH1
123,0.003371162,3,AFAP1-AS1
124,-0.00608199,4,EML2
125,0.0041439496,1,STK3
126,-0.003296795,4,PLA2G2A
127,0.008414643,0,MIR3180-4
128,0.0051032105,1,ENTPD3
129,-0.004053879,4,VSIG2
130,0.008442393,0,HSD17B11
131,0.004052763,2,TRIM17
132,0.0056355796,1,HOTAIR
133,-0.018389039,4,PRSS8
134,0.013219692,0,HOXC10
135,0.04041981,0,TSEN34
136,0.0060159317,1,DDX11L16
137,0.042326495,0,PRTFDC1
138,0.0043701627,1,BHLHE40-AS1
139,-0.0042486633,4,SLC24A3
140,0.0039315894,2,HMCN2
141,0.0034846053,3,LINC01002
142,0.006533462,1,B3GALT4
143,0.006986232,0,GRAMD1C
144,-0.005220123,4,SECTM1
145,0.00010041689,4,SPATA6L
146,0.015882796,0,NAA40
147,0.0041369633,1,AP3M2
148,0.0033830309,3,PLSCR2
149,0.008004186,0,DENND2D
150,0.012584292,0,CREBBP
151,0.003548003,3,CRAT
152,-0.0040956074,4,TCEA3
153,-0.00087555766,4,CDKN2B-AS1
154,0.020615038,0,RASL11A
155,0.0004395505,4,TSHZ2
156,0.03261341,0,S100A14
157,0.001489287,4,USP11
158,0.0047564255,1,PRSS36
159,0.0055032335,1,SERPINA5
160,0.011073216,0,CNTD2
161,-0.008572272,4,KRT23
162,0.008062549,0,SUSD4
163,0.007205322,0,ARAF
164,0.0023353992,4,MTFMT
165,0.009470944,0,FOXD2-AS1
166,-0.0010743499,4,PER3
167,-0.0014503995,4,ARFGAP3
168,-0.016329147,4,IMPDH1
169,-0.0032465234,4,SBSPON
170,0.012495444,0,TLX3
171,0.0033828863,3,DRD5
172,-0.02568164,4,SMIM22
173,0.00859488,0,BCL2L14
174,0.0031032644,3,PER1
175,-0.007520211,4,FAM50B
176,0.008547935,0,CAMTA1
177,0.02957424,0,GRHL1
178,0.0057151667,1,KNDC1
179,0.006363847,1,HOXC-AS3
180,0.0073074335,0,APOL6
181,-0.0038464337,4,TTC39A
182,0.008970829,0,FAM83F
183,-0.0010189664,4,ZBTB7C
184,0.015351666,0,PPP2R5C
185,0.031008773,0,PLBD1
186,0.004039267,2,TMPRSS12
187,0.0032272101,3,LYPD3
188,-0.0004134393,4,IFITM1
189,0.0036595035,3,HOXC-AS2
190,0.0039973427,2,CYBA
191,0.0058595086,1,HDAC6
192,-0.0025285226,4,RIN3
193,0.0085299695,0,FOXC1
194,0.012980798,0,N4BP1
195,0.0018461894,4,LINC00886
196,0.005471882,1,THAP3
197,0.00602589,1,LAMA3
198,0.014564834,0,SPTSSB
199,0.024937812,0,TMPRSS13
200,0.039270006,0,RCAN3
201,0.04321388,0,FAM43A
202,-0.010031775,4,PITX1
203,0.0052092997,1,STS
204,0.006063629,1,KPNB1
205,0.004103714,1,QRFPR
206,0.006059725,1,OTX1
207,0.019179335,0,DAPK1
208,0.0037183147,3,PCDHGB1
209,0.026186945,0,CAB39L
210,0.007647907,0,ZFAT
211,0.013093736,0,PIGZ
212,-0.01581616,4,RBP1
213,0.022226006,0,DDI2
214,0.01655937,0,GPR157
215,0.020829717,0,PFKFB3
216,0.02398857,0,SUN2
217,0.055549763,0,LXN
218,0.0024733334,4,LRP1B
219,-0.022452036,4,FSCN1
220,0.0071174735,0,GJB5
221,0.03156421,0,ASS1
222,0.0077129747,0,STX10
223,0.05039816,0,C3
224,0.007242026,0,STAU2-AS1
225,0.0063923798,1,TNKS
226,0.008158046,0,WNK2
227,0.016600586,0,EXOC7
228,-0.020922419,4,FBP1
229,-0.001588298,4,HES4
230,0.0053969743,1,COPG1
231,-0.0028100188,4,ARHGEF19
232,0.009710689,0,MESP1
233,0.0072488356,0,ZBED1
234,-0.011312856,4,CRABP2
235,0.013999976,0,ANPEP
236,0.01640886,0,TFAP2C
237,2.0252864e-05,4,REEP4
238,0.012027119,0,TNFRSF11A
239,-0.01057559,4,GNAI2
240,-0.011262172,4,EHF
241,0.0037449289,3,NOTCH1
242,0.04134683,0,MT1X
243,0.0068831956,0,PGBD5
244,-0.0043049743,4,ZFR
245,0.0035506305,3,ZNF438
246,0.006385657,1,USP30
247,0.020082762,0,POLR2E
248,0.00016695261,4,ZMIZ2
249,0.0016517411,4,PHEX
250,0.01573628,0,CA9
251,0.0008493195,4,FYTTD1
252,-0.0010342086,4,P2RY2
253,-0.010127632,4,KIAA1217
254,0.023971142,0,PPL
255,0.0024774496,4,ALDOC
256,0.017374448,0,TMEM147
257,-0.013839245,4,RARRES3
258,0.022624709,0,CCT5
259,0.006691413,1,TSC2
260,0.012519662,0,TYMP
261,-0.006900444,4,TBC1D23
262,-0.014394476,4,FANCG
263,-0.002359317,4,OSR2
264,0.011977522,0,IFI27
265,0.004813619,1,GABPB2
266,0.017319974,0,ZFAND2B
267,-0.0007630758,4,ELMO3
268,0.0041902917,1,ST8SIA1
269,0.03422505,0,HEBP2
270,-0.00042186579,4,BMP3
271,0.01458835,0,RNF207
272,0.00482149,1,TBCE
273,0.0072149024,0,ZNF365
274,-0.003555918,4,GPS1
275,0.02600128,0,EIF2B3
276,0.0008965632,4,IQCG
277,0.010259639,0,C4orf33
278,0.0036709905,3,TPRG1-AS1
279,0.009647695,0,IPP
280,0.0015378451,4,EFHC1
281,0.017941078,0,PLA2G7
282,-0.0008828489,4,HSD3B7
283,0.006769936,0,CCL28
284,0.0043513696,1,NMI
285,-0.0074208127,4,C2CD4A
286,0.004444906,1,HIST1H1A
287,0.011085054,0,LRP2
288,0.0268529,0,CCNF
289,0.0076949946,0,RASIP1
290,-0.025840264,4,PPIA
291,0.00843129,0,C2CD4B
292,0.003114332,3,PCBP3
293,-0.00024050445,4,FUT2
294,0.00718315,0,TFE3
295,0.0015958373,4,TACSTD2
296,0.0058538294,1,PLA2G3
297,0.0059988634,1,MAB21L3
298,0.03011762,0,TNFSF13
299,-0.0002319786,4,CHST9
300,0.004454067,1,RWDD2B
301,0.003209873,3,HORMAD1
302,0.007110295,0,ECI2
303,0.0028667613,4,CHMP4A
304,0.0075657545,0,TRIM68
305,0.0037236214,3,PRSS27
306,0.0033181554,3,MSANTD4
307,0.0036822662,3,KLHDC7B
308,0.003809364,2,RARRES1
309,0.0038288094,2,TDRD1
310,0.0038374166,2,CALML5
311,0.002572842,4,CHMP7
312,0.003940835,2,SMC1B
313,0.003817645,2,SIM1
314,0.003490057,3,GBP6
315,0.005199803,1,MOGAT2
316,0.0038081147,2,CLDN8
317,0.0038116956,2,TM4SF1-AS1
318,0.003822515,2,NCCRP1
319,0.0038371,2,CD14
320,0.00428875,1,ZNF295-AS1
321,0.003978402,2,MIR4257
322,0.0038641565,2,SYCP2
323,0.0037783692,3,PLCXD3
324,0.003426637,3,GPKOW
325,0.0032219235,3,OTUD5
326,0.0037824123,3,PIK3R3
327,0.0039250045,2,NPBWR1
328,0.003864111,2,PLEKHF1
329,0.0032231817,3,ST8SIA6-AS1
330,0.003814746,2,KRT5
331,0.0036728964,3,BCL2L10
332,0.0038519404,2,CMYA5
333,0.0036693215,3,SLC25A6
334,0.0038426179,2,RERG
335,0.0041707978,1,PROM2
336,0.0038984625,2,LPO
337,0.003207305,3,NMB
338,0.0046782694,1,TPCN2
339,0.0039412365,2,DAPK2
340,0.0041746832,1,FAM83E
341,0.004457134,1,POU2F3
342,0.0038081147,2,GBP2
343,0.003810111,2,IRX5
344,0.0045406874,1,CYP1A1
345,0.0039966195,2,MAP3K12
346,0.0037782313,3,DSC3
347,0.003985306,2,ESPN
348,0.0038081147,2,PALMD
349,0.0037746564,3,CYP2E1
350,0.0018477325,4,SUV39H1
351,0.002577671,4,AARD
352,0.0056670867,1,HOXC12
353,0.0038127438,2,MUC1
354,0.003802414,3,RHOV
355,0.004428174,1,HES5
356,0.0038081147,2,RNASEL
357,0.0035715238,3,PKP1
358,0.0038230806,2,ST6GALNAC5
359,0.0038026124,3,EGOT
360,0.0030619865,3,BCL2L15
361,0.0037833485,3,DDIT4L
362,0.003624015,3,MUC20
363,0.003753729,3,CYP7B1
364,0.0037336117,3,ALX4
365,0.0044644233,1,PLEKHN1
366,0.0038068176,3,WWP2
367,0.0038414584,2,RHBDL2
368,0.004229725,1,GOSR2
369,0.0037649958,3,NAT10
370,0.0029344524,4,FAM156A
371,0.0038081147,2,SLC5A1
372,0.0033185075,3,UBE2U
373,0.0039139655,2,GGT6
374,0.0037652715,3,FXYD3
375,0.0038461469,2,CC2D1A
376,0.0040992587,1,PCDHGA5
377,0.007621948,0,HSD17B8
378,0.0038527306,2,TTC22
379,0.0039854413,2,ARPC1B
380,0.0013897035,4,SRF
381,0.003418026,3,AKR1B15
382,0.003839794,2,TMPRSS2
383,0.0038081147,2,C1QTNF2
384,0.0038135056,2,SYT12
385,0.006763979,1,CCAR2
386,0.0038081147,2,STIL
387,0.0050029447,1,UXT
388,0.003782451,3,ZNF300P1
389,0.0052957386,1,NDUFB11
