SYMBOL,ID
ATP6V0E1,603
ATP6V1A,604
ATP6V1B2,605
ATP6V1C1,606
ATP6V1C2,607
ATP6V1D,608
ATP6V1E1,609
ATP6V1F,610
ATP6V1G1,611
ATP6V1H,612
ATP8A1,613
ATP8B3,614
ATP9B,615
ATPAF1,616
ATPAF2,617
ATPIF1,618
ATR,619
ATRIP,620
ATRN,621
ATRNL1,622
ATXN1,623
ATXN10,624
ATXN2,625
ATXN2L,626
ATXN3,627
ATXN7,628
ATXN7L1,629
ATXN7L3,630
AUP1,631
AURKA,632
AURKAIP1,633
AURKB,634
AURKC,635
AUTS2,636
AVEN,637
AVP,638
AVPI1,639
AVPR1B,640
AXDND1,641
AXIN2,642
AZI1,643
AZI2,644
AZIN1,645
AZU1,646
B2M,647
B3GALNT1,648
B3GALNT2,649
B3GALT4,650
B3GALT6,651
B3GALTL,652
B3GAT1,653
B3GAT2,654
B3GAT3,655
B3GNT1,656
B3GNT2,657
B3GNT3,658
B3GNT4,659
B3GNT7,660
B3GNT9,661
B3GNTL1,662
B4GALNT1,663
B4GALNT2,664
B4GALNT4,665
B4GALT2,666
B4GALT3,667
B4GALT4,668
B4GALT5,669
B4GALT6,670
B4GALT7,671
B9D1,672
B9D2,673
BACH1,674
BACH2,675
BAD,676
BAG2,677
BAG3,678
BAG4,679
BAG5,680
BAHCC1,681
BAHD1,682
BAI2,683
BAI3,684
BAIAP3,685
BAMBI,686
BANF1,687
BANP,688
BARD1,689
BARHL1,690
BARHL2,691
BARX1,692
BARX2,693
BASP1,694
BATF3,695
BAX,696
BAZ1B,697
BBC3,698
BBS10,699
BBS2,700
BBS4,701
BBS7,702
BBS9,703
BCAM,704
BCAN,705
BCAP29,706
BCAR1,707
BCAR3,708
BCAS3,709
BCAS4,710
BCAT2,711
BCCIP,712
BCDIN3D,713
BCKDHB,714
BCKDK,715
BCL11A,716
BCL2,717
BCL2L1,718
BCL2L10,719
BCL2L11,720
BCL2L13,721
BCL6,722
BCL6B,723
BCL7B,724
BCL7C,725
BCL9L,726
BCLAF1,727
BCS1L,728
BDH1,729
BDNF,730
BDP1,731
BECN1,732
BEGAIN,733
BEND3,734
BEND4,735
BET1,736
BFAR,737
BFSP1,738
BHLHE23,739
BHLHE40,740
BHLHE41,741
BICC1,742
BICD1,743
BICD2,744
BID,745
BIK,746
BIN1,747
BIN3,748
BIRC2,749
BIRC3,750
BIRC5,751
BIRC6,752
BLCAP,753
BLM,754
BLMH,755
BLOC1S2,756
BLOC1S3,757
BLVRA,758
BMF,759
BMP2,760
BMP2K,761
BMP3,762
BMP4,763
BMP6,764
BMP8B,765
BMPER,766
BMPR1A,767
BMPR1B,768
BMPR2,769
BMS1,770
BNC1,771
BNC2,772
BNIP3,773
BNIP3L,774
BOC,775
BOD1,776
BOK,777
BOLA1,778
BOLA3,779
BOLL,780
BPHL,781
BPTF,782
BRAF,783
BRCA1,784
BRD2,785
BRD8,786
BRDT,787
BRF1,788
BRF2,789
BRI3,790
BRICD5,791
BRIP1,792
BRMS1,793
BRMS1L,794
BRPF1,795
BRSK2,796
BRWD1,797
BSDC1,798
BSG,799
BSN,800
BSPRY,801
BSX,802
BTAF1,803
BTBD1,804
BTBD10,805
BTBD11,806
BTBD18,807
BTBD3,808
BTBD6,809
BTBD8,810
BTBD9,811
BTF3,812
BTF3L4,813
BTG2,814
BTG3,815
BTG4,816
BTRC,817
BUB1,818
BUB3,819
BUD13,820
BUD31,821
BZW2,822
C10orf107,823
C10orf114,824
C10orf131,825
C10orf137,826
C10orf25,827
C10orf35,828
C10orf53,829
C10orf76,830
C10orf82,831
C10orf88,832
C11orf24,833
C11orf30,834
C11orf49,835
C11orf57,836
C11orf58,837
C11orf63,838
C11orf68,839
C11orf70,840
C11orf71,841
C11orf75,842
C11orf80,843
C11orf83,844
C11orf84,845
C11orf88,846
C11orf92,847
C11orf95,848
C12orf10,849
C12orf23,850
C12orf29,851
C12orf42,852
C12orf43,853
C12orf44,854
C12orf45,855
C12orf49,856
C12orf5,857
C12orf52,858
C12orf56,859
C12orf57,860
C12orf61,861
